geo,name,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
afg,Afghanistan,8,8,12,11,15,15,16,16,19,16,24,20
ago,Angola,22,23,19,15,18,19,19,26,27,29,33,33
alb,Albania,33,31,33,36,39,38,36,35,36,35,36,37
are,UAE,68,69,70,70,66,71,70,71,71,69,67,68
arg,Argentina,35,34,34,32,36,39,40,45,42,38,38,37
arm,Armenia,34,36,37,35,33,35,35,42,49,49,46,47
aus,Australia,85,81,80,79,79,77,77,77,77,73,75,75
aut,Austria,69,69,72,76,75,75,76,77,76,74,71,71
aze,Azerbaijan,27,28,29,29,30,31,25,30,30,30,23,23
bdi,Burundi,19,21,20,21,20,22,17,19,19,19,17,20
bel,Belgium,75,75,76,77,77,75,75,75,76,73,73,73
ben,Benin,36,36,39,37,36,39,40,41,41,42,43,43
bfa,Burkina Faso,38,38,38,38,42,42,41,40,40,42,42,41
bgd,Bangladesh,26,27,25,25,26,28,26,26,26,26,25,24
bgr,Bulgaria,41,41,43,41,41,43,42,43,44,42,43,45
bhr,Bahrain,51,48,49,51,43,36,36,42,42,42,44,42
bhs,Bahamas,71,71,71,,66,65,65,64,63,64,64,64
bih,Bosnia and Herzegovina,42,42,39,38,39,38,38,36,35,35,34,35
blr,Belarus,31,29,31,32,40,44,44,45,47,41,39,37
bol,Bolivia,34,34,35,34,33,33,29,31,31,30,31,29
bra,Brazil,43,42,43,38,40,37,35,35,38,38,38,36
brb,Barbados,76,75,74,,61,68,68,62,64,65,65,69
brn,Brunei,55,60,,,58,62,63,60,60,,,
btn,Bhutan,63,63,65,65,65,67,68,68,68,68,68,68
bwa,Botswana,65,64,63,63,60,61,61,61,60,55,60,59
caf,Central African Republic,26,25,24,24,20,23,26,25,26,24,24,24
can,Canada,84,81,81,83,82,82,81,77,77,74,74,76
che,Switzerland,86,85,86,86,86,85,85,85,85,84,82,82
chl,Chile,72,71,73,70,66,67,67,67,67,67,67,66
chn,China,39,40,36,37,40,41,39,41,42,45,45,42
civ,Cote d'Ivoire,29,27,32,32,34,36,35,35,36,36,37,40
cmr,Cameroon,26,25,27,27,26,25,25,25,25,27,26,27
cod,"Congo, Dem. Rep.",21,22,22,22,21,21,20,18,18,19,20,20
cog,"Congo, Rep.",26,22,23,23,20,21,19,19,19,21,21,22
col,Colombia,36,36,37,37,37,37,36,37,39,39,39,40
com,Comoros,28,28,26,26,24,27,27,25,21,20,19,20
cpv,Cape Verde,60,58,57,55,59,55,57,58,58,58,60,64
cri,Costa Rica,54,53,54,55,58,59,56,56,57,58,54,55
cub,Cuba,48,46,46,47,47,47,47,48,47,46,45,42
cyp,Cyprus,66,63,63,61,55,57,59,58,57,53,52,53
cze,Czech Republic,49,48,51,56,55,57,59,56,54,54,56,57
deu,Germany,79,78,79,81,81,81,80,80,80,80,79,78
dji,Djibouti,36,36,34,34,30,31,31,30,27,30,30,30
dma,Dominica,58,58,58,,59,57,57,55,55,55,55,56
dnk,Denmark,90,91,92,91,90,88,88,87,88,88,90,90
dom,Dominican Republic,32,29,32,33,31,29,30,28,28,30,32,35
dza,Algeria,34,36,36,36,34,33,35,35,36,33,33,36
ecu,Ecuador,32,35,33,32,31,32,34,38,39,36,36,34
egy,Egypt,32,32,37,36,34,32,35,35,33,33,30,35
eri,Eritrea,25,20,18,18,18,20,24,23,21,22,22,21
esp,Spain,65,59,60,58,58,57,58,62,62,61,60,60
est,Estonia,64,68,69,70,70,71,73,74,75,74,74,76
eth,Ethiopia,33,33,33,33,34,35,34,37,38,39,38,37
fin,Finland,90,89,89,90,89,85,85,86,85,88,87,87
fji,Fiji,,,,,,,,,,55,53,52
fra,France,71,71,69,70,69,70,72,69,69,71,72,71
gab,Gabon,35,34,37,34,35,32,31,31,30,31,29,28
gbr,UK,74,76,78,81,81,82,80,77,77,78,73,71
geo,Georgia,52,49,52,52,57,56,58,56,56,55,56,53
gha,Ghana,45,46,48,47,43,40,41,41,43,43,43,43
gin,Guinea,24,24,25,25,27,27,28,29,28,25,25,26
gmb,Gambia,34,28,29,28,26,30,37,37,37,37,34,37
gnb,Guinea-Bissau,25,19,19,17,16,17,16,18,19,21,21,22
gnq,Equatorial Guinea,20,19,,,,17,16,16,16,17,17,17
grc,Greece,36,40,43,46,44,48,45,48,50,49,52,49
grd,Grenada,,,,,56,52,52,53,53,53,52,53
gtm,Guatemala,33,29,32,28,28,28,27,26,25,25,24,23
guy,Guyana,28,27,30,29,34,38,37,40,41,39,40,40
hnd,Honduras,28,26,29,31,30,29,29,26,24,23,23,23
hrv,Croatia,46,48,48,51,49,49,48,47,47,47,50,50
hti,Haiti,19,19,19,17,20,22,20,18,18,20,17,17
hun,Hungary,55,54,54,51,48,45,46,44,44,43,42,42
idn,Indonesia,32,32,34,36,37,37,38,40,37,38,34,34
ind,India,36,36,38,38,40,40,41,41,40,40,40,39
irl,Ireland,69,72,74,75,73,74,73,74,72,74,77,77
irn,Iran,28,25,27,27,29,30,28,26,25,25,25,24
irq,Iraq,18,16,16,16,17,18,18,20,21,23,23,23
isl,Iceland,82,78,79,79,78,77,76,78,75,74,74,72
isr,Israel,60,61,60,61,64,62,61,60,60,59,63,62
ita,Italy,42,43,43,44,47,50,52,53,53,56,56,56
jam,Jamaica,38,38,38,41,39,44,44,43,44,44,44,44
jor,Jordan,48,45,49,53,48,48,49,48,49,49,47,46
jpn,Japan,74,74,76,75,72,73,73,73,74,73,73,73
kaz,Kazakhstan,28,26,29,28,29,31,31,34,38,37,36,39
ken,Kenya,27,27,25,25,26,28,27,28,31,30,32,31
kgz,Kyrgyz Republic,24,24,27,28,28,29,29,30,31,27,27,26
